NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1314 Entries & Exits,1213 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
5671,SNG,Sunningdale,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,," 116,177 "," 126,559 "," 100,976 "," 343,712 "," 116,177 "," 126,559 "," 100,976 "," 343,712 "," 687,424 "," 686,458 ", -   ,0,0,,
5675,SNY,Sunnymeads,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,," 7,289 "," 7,324 "," 6,096 "," 20,709 "," 7,289 "," 7,324 "," 6,096 "," 20,709 "," 41,418 "," 38,864 ", -   ,0,0,,
5571,SUR,Surbiton,London,Greater London,Kingston Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 910,791 "," 1,561,168 "," 2,131,492 "," 4,603,451 "," 910,791 "," 1,561,168 "," 2,131,492 "," 4,603,451 "," 9,206,902 "," 9,030,624 "," 915,123 ",0,0,,
1083,SQE,Surrey Quays,London,Greater London,Southwark,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 283,679 "," 572,952 "," 332,089 "," 1,188,720 "," 283,679 "," 572,952 "," 332,089 "," 1,188,720 "," 2,377,440 "," 2,044,336 "," 1,126,051 ",1,0,Increase associated with introduction of London Overground services between Clapham Junction and Surrey Quays in December 2012,
5385,SUO,Sutton (Surrey),London,Greater London,Sutton,UKI2,Outer London,Southern,,,London Travelcard Area Station," 694,558 "," 1,007,440 "," 1,601,592 "," 3,303,590 "," 694,558 "," 1,007,440 "," 1,601,592 "," 3,303,590 "," 6,607,180 "," 6,353,196 "," 653,081 ",0,0,,
1044,SUT,Sutton Coldfield,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 122,248 "," 215,712 "," 376,812 "," 714,772 "," 122,248 "," 215,712 "," 376,812 "," 714,772 "," 1,429,544 "," 1,368,220 ", -   ,0,0,,
5436,SUC,Sutton Common,London,Greater London,Sutton,UKI2,Outer London,First Capital Connect,,,London Travelcard Area Station," 47,331 "," 41,224 "," 99,525 "," 188,080 "," 47,331 "," 41,224 "," 99,525 "," 188,080 "," 376,160 "," 323,266 ", -   ,1,0,Reasons for strong growth unclear - there is a pattern of high growth for many stations on the Wimbledon Loop,
1861,SPK,Sutton Parkway,East Midlands,Nottinghamshire,Ashfield,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 27,913 "," 21,742 "," 17,970 "," 67,625 "," 27,913 "," 21,742 "," 17,970 "," 67,625 "," 135,250 "," 147,028 ", -   ,0,0,Disruption to services caused by the Nottingham Resignalling Project,
5249,SWL,Swale,South East,Kent,Swale,UKJ4,Kent,Southeastern,,,, 906 , 405 , 585 ," 1,896 ", 906 , 405 , 585 ," 1,896 "," 3,792 "," 3,372 ", -   ,0,0,,
5075,SAY,Swanley,South East,Kent,Sevenoaks,UKJ4,Kent,Southeastern,,,," 113,415 "," 205,033 "," 293,794 "," 612,242 "," 113,415 "," 205,033 "," 293,794 "," 612,242 "," 1,224,484 "," 1,197,484 "," 163,251 ",0,0,,
