NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1314 Entries & Exits,1213 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
4416,FRB,Fairbourne,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 13,843 "," 4,580 ", 659 ," 19,082 "," 13,843 "," 4,580 ", 659 ," 19,082 "," 38,164 "," 44,130 ", -   ,1,0,Line closures due to winter storm damage,http://www.dailypost.co.uk/news/north-wales-news/cambrian-coast-railway-gwynedd-closed-6528359
2780,FRF,Fairfield,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 2,544 "," 4,491 "," 4,214 "," 11,249 "," 2,544 "," 4,491 "," 4,214 "," 11,249 "," 22,498 "," 23,690 ", -   ,0,0,,
9452,FRL,Fairlie,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 5,537 "," 9,996 "," 2,476 "," 18,009 "," 5,537 "," 9,996 "," 2,476 "," 18,009 "," 36,018 "," 41,810 ", -   ,1,0,Improved PTE Infill,
3873,FRW,Fairwater,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,," 14,030 ", 870 ," 10,464 "," 25,364 "," 14,030 ", 870 ," 10,464 "," 25,364 "," 50,728 "," 39,942 ", -   ,1,0,Continues high growth from previous year,
5137,FCN,Falconwood,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 132,473 "," 129,169 "," 299,806 "," 561,448 "," 132,473 "," 129,169 "," 299,806 "," 561,448 "," 1,122,896 "," 1,055,696 ", -   ,0,0,,
9930,FKG,Falkirk Grahamston,Scotland,Falkirk,Falkirk,UKM2,Eastern Scotland,First ScotRail,FALKIRK BR,,," 80,073 "," 113,008 "," 64,797 "," 257,878 "," 80,073 "," 113,008 "," 64,797 "," 257,878 "," 515,756 "," 508,850 "," 37,856 ",0,0,,
9931,FKK,Falkirk High,Scotland,Falkirk,Falkirk,UKM2,Eastern Scotland,First ScotRail,FALKIRK BR,,," 125,668 "," 207,286 "," 166,426 "," 499,380 "," 125,668 "," 207,286 "," 166,426 "," 499,380 "," 998,760 "," 963,810 "," 4,890 ",0,0,,
8726,FOC,Falls Of Cruachan,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,, 181 , 68 , -   , 249 , 181 , 68 , -   , 249 , 498 , 244 , -   ,0,1,"Very small station (<2,500 entries and exits p.a.)","Very small station (<2,500 entries and exits p.a.)"
5337,FMR,Falmer,South East,Brighton And Hove,Brighton And Hove,UKJ2,"Surrey, East & West Sussex",Southern,,,," 141,825 "," 399,873 "," 116,577 "," 658,275 "," 141,825 "," 399,873 "," 116,577 "," 658,275 "," 1,316,550 "," 1,250,322 ", -   ,0,0,,
3508,FAL,Falmouth Docks,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,,,," 3,226 "," 43,534 "," 7,807 "," 54,567 "," 3,226 "," 43,534 "," 7,807 "," 54,567 "," 109,134 "," 103,542 ", -   ,0,0,,
3591,FMT,Falmouth Town,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,,,," 7,508 "," 70,215 "," 29,668 "," 107,391 "," 7,508 "," 70,215 "," 29,668 "," 107,391 "," 214,782 "," 204,810 ", -   ,0,0,,
5900,FRM,Fareham,South East,Hampshire,Fareham,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 263,990 "," 334,840 "," 263,672 "," 862,502 "," 263,990 "," 334,840 "," 263,672 "," 862,502 "," 1,725,003 "," 1,666,232 "," 173,667 ",0,0,,
5521,FNB,Farnborough (Main),South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,South West Trains,FARNBOROUGH BR,,," 378,234 "," 437,579 "," 649,213 "," 1,465,026 "," 378,234 "," 437,579 "," 649,213 "," 1,465,026 "," 2,930,052 "," 2,859,700 "," 2,709 ",0,0,,
5688,FNN,Farnborough North,South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,First Great Western,FARNBOROUGH BR,,," 81,779 "," 94,609 "," 140,367 "," 316,755 "," 81,779 "," 94,609 "," 140,367 "," 316,755 "," 633,510 "," 618,300 ", -   ,0,0,,
5643,FNC,Farncombe,South East,Surrey,Waverley,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 108,950 "," 108,780 "," 212,291 "," 430,021 "," 108,950 "," 108,780 "," 212,291 "," 430,021 "," 860,042 "," 847,234 ", -   ,0,0,,
5545,FNH,Farnham,South East,Surrey,Waverley,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 209,049 "," 235,870 "," 351,916 "," 796,835 "," 209,049 "," 235,870 "," 351,916 "," 796,835 "," 1,593,670 "," 1,593,474 ", 259 ,0,0,,
5105,FNR,Farningham Road,South East,Kent,Dartford,UKJ4,Kent,Southeastern,,,," 14,943 "," 24,521 "," 59,714 "," 99,178 "," 14,943 "," 24,521 "," 59,714 "," 99,178 "," 198,356 "," 189,518 ", -   ,0,0,,
2811,FNW,Farnworth,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 3,563 "," 11,540 "," 5,576 "," 20,679 "," 3,563 "," 11,540 "," 5,576 "," 20,679 "," 41,358 "," 43,740 ", -   ,0,0,,
577,FAR,Farringdon,London,Greater London,Islington,UKI1,Inner London,London Underground,LONDON BR,,London Travelcard Area Station," 407,907 "," 376,902 "," 2,442,616 "," 3,227,425 "," 407,907 "," 376,902 "," 2,442,616 "," 3,227,425 "," 6,454,850 "," 5,040,844 "," 196,230 ",1,0,Reason for increase unclear,
9245,FLD,Fauldhouse,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,," 7,851 "," 9,379 "," 4,316 "," 21,546 "," 7,851 "," 9,379 "," 4,316 "," 21,546 "," 43,091 "," 42,350 ", -   ,0,0,,
5167,FAV,Faversham,South East,Kent,Swale,UKJ4,Kent,Southeastern,,,," 99,630 "," 228,026 "," 363,132 "," 690,788 "," 99,630 "," 228,026 "," 363,132 "," 690,788 "," 1,381,575 "," 1,444,478 "," 23,545 ",0,0,,
5493,FGT,Faygate,South East,West Sussex,Horsham,UKJ2,"Surrey, East & West Sussex",Southern,,,," 1,463 ", 728 ," 3,799 "," 5,990 "," 1,463 ", 728 ," 3,799 "," 5,990 "," 11,980 "," 13,204 ", -   ,0,0,,
2126,FAZ,Fazakerley,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 130,129 "," 195,727 "," 205,109 "," 530,965 "," 130,129 "," 195,727 "," 205,109 "," 530,965 "," 1,061,930 "," 789,698 ", -   ,1,0,Improved PTE Infill,
8637,FRN,Fearn,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 1,761 "," 1,157 ", 385 ," 3,303 "," 1,761 "," 1,157 ", 385 ," 3,303 "," 6,606 "," 7,226 ", -   ,0,0,,
8544,FEA,Featherstone,Yorkshire And The Humber,West Yorkshire,Wakefield,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 15,592 "," 18,364 "," 2,097 "," 36,053 "," 15,592 "," 18,364 "," 2,097 "," 36,053 "," 72,106 "," 81,452 ", -   ,1,0,Reason for decrease unclear,
7214,FLX,Felixstowe,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,Abellio Greater Anglia,,,," 29,574 "," 58,245 "," 17,800 "," 105,619 "," 29,574 "," 58,245 "," 17,800 "," 105,619 "," 211,238 "," 210,762 ", -   ,0,0,,
5559,FEL,Feltham,London,Greater London,Hounslow,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 527,715 "," 636,769 "," 849,051 "," 2,013,535 "," 527,715 "," 636,769 "," 849,051 "," 2,013,535 "," 4,027,070 "," 3,882,124 ", -   ,0,0,,
7490,FST,Fenchurch Street,London,Greater London,City Of London,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station," 2,246,616 "," 1,955,532 "," 4,920,115 "," 9,122,263 "," 2,246,616 "," 1,955,532 "," 4,920,115 "," 9,122,263 "," 18,244,526 "," 16,842,654 "," 546,981 ",0,0,,
5808,FNT,Feniton,South West,Devon,East Devon,UKK4,Devon,South West Trains,,,," 8,208 "," 18,857 "," 6,132 "," 33,197 "," 8,208 "," 18,857 "," 6,132 "," 33,197 "," 66,394 "," 66,958 ", -   ,0,0,,
1377,FEN,Fenny Stratford,South East,Milton Keynes,Milton Keynes,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",London Midland Trains,,,," 2,317 "," 4,339 "," 6,556 "," 13,212 "," 2,317 "," 4,339 "," 6,556 "," 13,212 "," 26,424 "," 21,268 ", -   ,1,0,High growth on several Marston Vale Line stations. Likely partially a rebound from the impacts of overunning engineering works and reliability problems in the previous year,http://www.marstonvalecommunityrail.org.uk/were-back/
3862,FER,Fernhill,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 9,680 "," 1,027 "," 1,418 "," 12,125 "," 9,680 "," 1,027 "," 1,418 "," 12,125 "," 24,250 "," 23,948 ", -   ,0,0,,
8061,FRY,Ferriby,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 13,789 "," 2,880 "," 8,480 "," 25,149 "," 13,789 "," 2,880 "," 8,480 "," 25,149 "," 50,298 "," 50,364 ", -   ,0,0,,
4074,FYS,Ferryside,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 5,181 "," 2,079 "," 3,105 "," 10,365 "," 5,181 "," 2,079 "," 3,105 "," 10,365 "," 20,730 "," 20,706 ", -   ,0,0,,
4066,FFA,Ffairfach,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 1,178 ", 374 , 21 ," 1,573 "," 1,178 ", 374 , 21 ," 1,573 "," 3,146 "," 2,568 ", -   ,0,0,,
8062,FIL,Filey,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,Northern Rail,,,," 33,393 "," 22,842 "," 5,374 "," 61,609 "," 33,393 "," 22,842 "," 5,374 "," 61,609 "," 123,218 "," 120,860 ", -   ,0,0,,
3235,FIT,Filton Abbey Wood,South West,South Gloucestershire,South Gloucestershire,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,BRISTOL BR,,," 218,934 "," 78,623 "," 196,810 "," 494,367 "," 218,934 "," 78,623 "," 196,810 "," 494,367 "," 988,734 "," 852,250 ", -   ,1,0,Continues high growth from previous year. Could be linked to increase use of nearby MoD site,
1445,FNY,Finchley Road & Frognal,London,Greater London,Camden,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 177,386 "," 271,403 "," 608,189 "," 1,056,978 "," 177,386 "," 271,403 "," 608,189 "," 1,056,978 "," 2,113,956 "," 1,718,596 ", -   ,1,0,Continuation of recent trend in growth on London Overground services,
6119,FPK,Finsbury Park,London,Greater London,Islington,UKI1,Inner London,First Capital Connect,,,London Travelcard Area Station," 515,127 "," 925,830 "," 1,773,835 "," 3,214,792 "," 515,127 "," 925,830 "," 1,773,835 "," 3,214,792 "," 6,429,584 "," 6,430,270 "," 1,133,109 ",0,0,,
3012,FIN,Finstock,South East,Oxfordshire,West Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,, 599 , 90 , 271 , 960 , 599 , 90 , 271 , 960 ," 1,920 "," 1,970 ", -   ,0,0,,
5261,FSB,Fishbourne,South East,West Sussex,Chichester,UKJ2,"Surrey, East & West Sussex",Southern,,,," 9,801 "," 11,458 "," 16,268 "," 37,527 "," 9,801 "," 11,458 "," 16,268 "," 37,527 "," 75,054 "," 74,880 ", -   ,0,0,,
5284,FSG,Fishersgate,South East,West Sussex,Adur,UKJ2,"Surrey, East & West Sussex",Southern,,,," 16,161 "," 26,852 "," 14,140 "," 57,153 "," 16,161 "," 26,852 "," 14,140 "," 57,153 "," 114,306 "," 113,128 ", -   ,0,0,,
6680,FGW,Fishguard & Goodwick,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 3,760 "," 4,771 ", -   ," 8,531 "," 3,760 "," 4,771 ", -   ," 8,531 "," 17,062 "," 12,072 ", -   ,1,0,Demand ramping up from station opening previous year,
4076,FGH,Fishguard Harbour,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 2,048 "," 12,626 ", 28 ," 14,702 "," 2,048 "," 12,626 ", 28 ," 14,702 "," 29,404 "," 35,520 ", -   ,1,0,Demand abstracted to new Fishguard & Goodwick station,
6351,FSK,Fiskerton,East Midlands,Nottinghamshire,Newark And Sherwood,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 4,255 ", 481 ," 1,317 "," 6,053 "," 4,255 ", 481 ," 1,317 "," 6,053 "," 12,106 "," 13,966 ", -   ,1,0,Reason for decrease unclear (could be partly related to Nottingham Resignalling Project),
8583,FZW,Fitzwilliam,Yorkshire And The Humber,West Yorkshire,Wakefield,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 40,834 "," 54,204 "," 33,143 "," 128,181 "," 40,834 "," 54,204 "," 33,143 "," 128,181 "," 256,362 "," 229,610 ", 196 ,1,0,Continues high growth seen in the previous year,
4503,FWY,Five Ways,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 178,235 "," 198,451 "," 346,817 "," 723,503 "," 178,235 "," 198,451 "," 346,817 "," 723,503 "," 1,447,006 "," 1,350,282 ", -   ,0,0,,
5522,FLE,Fleet,South East,Hampshire,Hart,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 179,114 "," 248,034 "," 452,932 "," 880,080 "," 179,114 "," 248,034 "," 452,932 "," 880,080 "," 1,760,159 "," 1,768,336 "," 11,009 ",0,0,,
2026,FLM,Flimby,North West,Cumbria,Allerdale,UKD1,Cumbria,Northern Rail,,,," 3,256 "," 1,359 "," 2,168 "," 6,783 "," 3,256 "," 1,359 "," 2,168 "," 6,783 "," 13,566 "," 14,238 ", -   ,0,0,,
2513,FLN,Flint,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,,,," 63,628 "," 48,302 "," 19,839 "," 131,769 "," 63,628 "," 48,302 "," 19,839 "," 131,769 "," 263,538 "," 270,682 ", -   ,0,0,,
1532,FLT,Flitwick,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 96,981 "," 209,245 "," 367,299 "," 673,525 "," 96,981 "," 209,245 "," 367,299 "," 673,525 "," 1,347,050 "," 1,319,110 ", -   ,0,0,,
2935,FLI,Flixton,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 11,272 "," 17,277 "," 17,960 "," 46,509 "," 11,272 "," 17,277 "," 17,960 "," 46,509 "," 93,018 "," 82,834 ", -   ,1,0,Reason for increase unclear,
2786,FLF,Flowery Field,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 17,071 "," 47,545 "," 41,633 "," 106,249 "," 17,071 "," 47,545 "," 41,633 "," 106,249 "," 212,498 "," 197,450 ", -   ,0,0,,
5035,FKC,Folkestone Central,South East,Kent,Shepway,UKJ4,Kent,Southeastern,FOLKESTONE BR,,," 85,738 "," 225,945 "," 216,565 "," 528,248 "," 85,738 "," 225,945 "," 216,565 "," 528,248 "," 1,056,495 "," 1,037,570 "," 4,434 ",0,0,,
5027,FKW,Folkestone West,South East,Kent,Shepway,UKJ4,Kent,Southeastern,FOLKESTONE BR,,," 29,108 "," 67,991 "," 73,211 "," 170,310 "," 29,108 "," 67,991 "," 73,211 "," 170,310 "," 340,620 "," 315,972 ", -   ,0,0,,
5258,FOD,Ford,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 14,586 "," 27,393 "," 20,955 "," 62,934 "," 14,586 "," 27,393 "," 20,955 "," 62,934 "," 125,868 "," 121,384 "," 101,167 ",0,0,,
6876,FOG,Forest Gate,London,Greater London,Newham,UKI1,Inner London,Abellio Greater Anglia,,,London Travelcard Area Station," 189,674 "," 412,295 "," 721,560 "," 1,323,529 "," 189,674 "," 412,295 "," 721,560 "," 1,323,529 "," 2,647,058 "," 2,403,326 ", -   ,1,0,General high growth on Great Eastern Main Line,
5362,FOH,Forest Hill,London,Greater London,Lewisham,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 462,043 "," 783,429 "," 1,087,396 "," 2,332,868 "," 462,043 "," 783,429 "," 1,087,396 "," 2,332,868 "," 4,665,736 "," 4,487,196 ", -   ,0,0,,
2354,FBY,Formby,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 144,836 "," 319,277 "," 177,245 "," 641,358 "," 144,836 "," 319,277 "," 177,245 "," 641,358 "," 1,282,716 "," 1,401,584 ", -   ,0,0,,
8638,FOR,Forres,Scotland,Moray,Moray,UKM4,Highlands and Islands,First ScotRail,,,," 20,977 "," 33,315 "," 7,764 "," 62,056 "," 20,977 "," 33,315 "," 7,764 "," 62,056 "," 124,111 "," 118,288 ", -   ,0,0,,
8639,FRS,Forsinard,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 625 , 234 , -   , 859 , 625 , 234 , -   , 859 ," 1,718 "," 2,088 ", -   ,0,0,,
9675,FTM,Fort Matilda,Scotland,Inverclyde,Inverclyde,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 17,550 "," 25,647 "," 17,347 "," 60,544 "," 17,550 "," 25,647 "," 17,347 "," 60,544 "," 121,088 "," 124,092 ", -   ,0,0,,
8827,FTW,Fort William,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 24,069 "," 48,683 ", -   ," 72,752 "," 24,069 "," 48,683 ", -   ," 72,752 "," 145,504 "," 135,556 ", 440 ,0,0,,
1042,FOK,Four Oaks,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 58,159 "," 104,240 "," 149,062 "," 311,461 "," 58,159 "," 104,240 "," 149,062 "," 311,461 "," 622,922 "," 585,186 ", -   ,0,0,,
2046,FOX,Foxfield,North West,Cumbria,South Lakeland,UKD1,Cumbria,Northern Rail,,,," 11,977 ", 303 ," 1,264 "," 13,544 "," 11,977 ", 303 ," 1,264 "," 13,544 "," 27,088 "," 27,064 ", -   ,0,0,,
7029,FXN,Foxton,East,Cambridgeshire,South Cambridgeshire,UKH1,East Anglia,First Capital Connect,,,," 10,764 "," 12,603 "," 20,215 "," 43,582 "," 10,764 "," 12,603 "," 20,215 "," 43,582 "," 87,164 "," 87,974 ", -   ,0,0,,
5218,FRT,Frant,South East,East Sussex,Wealden,UKJ2,"Surrey, East & West Sussex",Southeastern,,,," 6,018 "," 12,416 "," 37,494 "," 55,928 "," 6,018 "," 12,416 "," 37,494 "," 55,928 "," 111,856 "," 111,064 ", -   ,0,0,,
5509,FTN,Fratton,South East,Portsmouth,Portsmouth,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 267,042 "," 411,675 "," 106,577 "," 785,294 "," 267,042 "," 411,675 "," 106,577 "," 785,294 "," 1,570,588 "," 1,552,398 "," 68,238 ",0,0,,
2355,FRE,Freshfield,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 90,336 "," 196,906 "," 83,108 "," 370,350 "," 90,336 "," 196,906 "," 83,108 "," 370,350 "," 740,700 "," 715,288 ", -   ,0,0,,
3344,FFD,Freshford,South West,Bath And North East Somerset,Bath And North East Somerset,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 9,255 "," 7,075 "," 3,744 "," 20,074 "," 9,255 "," 7,075 "," 3,744 "," 20,074 "," 40,148 "," 39,160 ", -   ,0,0,,
5683,FML,Frimley,South East,Surrey,Surrey Heath,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 44,114 "," 34,379 "," 31,589 "," 110,082 "," 44,114 "," 34,379 "," 31,589 "," 110,082 "," 220,164 "," 226,258 ", -   ,0,0,,
6854,FRI,Frinton,East,Essex,Tendring,UKH3,Essex,Abellio Greater Anglia,,,," 16,331 "," 41,555 "," 36,936 "," 94,822 "," 16,331 "," 41,555 "," 36,936 "," 94,822 "," 189,644 "," 175,226 ", -   ,0,0,,
8556,FZH,Frizinghall,Yorkshire And The Humber,West Yorkshire,Bradford,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 69,670 "," 57,092 "," 62,387 "," 189,149 "," 69,670 "," 57,092 "," 62,387 "," 189,149 "," 378,298 "," 375,240 ", -   ,0,0,,
2284,FRD,Frodsham,North West,Cheshire,Vale Royal,UKD2,Cheshire,Arriva Trains Wales,,,," 32,725 "," 26,262 "," 16,264 "," 75,251 "," 32,725 "," 26,262 "," 16,264 "," 75,251 "," 150,502 "," 134,728 ", -   ,1,0,Continues strong growth from the previous year,
